parking_id,horizon,n_first,n_second,mae_first,mae_second,mae_overall,baseline_mae,baseline_name,evidence_report,evaluated_at,status,reason
27,15,659,767,1.072,1.071,1.071,1.4,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.40) 대비 우위
28,15,659,767,1.613,1.937,1.787,1.79,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.79) 대비 우위
29,15,659,767,2.488,3.797,3.192,3.182,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(3.18)보다 나쁨 — 모델을 쓸 이유가 없음
30,15,659,767,3.377,3.953,3.687,3.793,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.79) 대비 우위
31,15,659,767,1.832,1.347,1.571,2.072,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.07) 대비 우위
33,15,659,767,1.558,2.85,2.253,2.292,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.29) 대비 우위
34,15,659,767,1.311,1.448,1.385,1.691,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.69) 대비 우위
36,15,659,767,1.034,1.598,1.337,1.368,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.37) 대비 우위
37,15,659,767,0.832,0.991,0.918,1.06,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.06) 대비 우위
38,15,659,767,1.15,1.822,1.512,1.898,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.90) 대비 우위
39,15,659,767,1.18,1.424,1.311,1.376,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.38) 대비 우위
40,15,659,767,2.084,2.711,2.421,2.422,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.42) 대비 우위
42,15,659,767,1.713,1.523,1.611,1.648,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.65) 대비 우위
48,15,271,385,7.489,7.373,7.421,7.533,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(7.53) 대비 우위
52,15,40,232,3.169,4.05,3.92,3.884,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 40행/후반 232행)
53,15,281,388,3.503,3.957,3.766,4.181,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(4.18) 대비 우위
56,15,120,321,6.336,7.133,6.916,6.924,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(6.92) 대비 우위
81,15,659,767,2.23,2.348,2.293,2.328,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.33) 대비 우위
82,15,659,767,0.853,0.862,0.858,0.876,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(0.88) 대비 우위
106,15,659,767,0.0,1.296,0.697,0.697,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(0.70)보다 나쁨 — 모델을 쓸 이유가 없음
108,15,659,767,0.377,1.412,0.934,0.935,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(0.94) 대비 우위
112,15,659,767,2.402,3.253,2.859,3.182,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.18) 대비 우위
121,15,659,767,0.689,1.139,0.931,0.932,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(0.93) 대비 우위
161,15,52,307,7.567,7.346,7.378,7.373,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 307행)
162,15,52,307,6.096,7.959,7.69,7.683,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 307행)
163,15,52,310,0.685,3.082,2.738,2.732,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 310행)
164,15,52,308,5.231,4.626,4.714,4.708,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 308행)
165,15,52,310,6.538,10.839,10.221,10.221,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 310행)
166,15,52,310,4.622,4.756,4.737,4.751,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 310행)
167,15,52,310,4.396,10.268,9.425,9.417,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 310행)
168,15,52,310,6.882,7.211,7.164,7.152,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 310행)
169,15,52,308,11.16,10.38,10.493,10.505,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 308행)
170,15,52,310,8.223,7.426,7.541,7.534,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 310행)
171,15,52,310,4.153,7.315,6.86,6.851,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 310행)
172,15,52,271,0.652,2.935,2.567,2.693,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 52행/후반 271행)
181,15,659,767,1.459,1.746,1.614,1.688,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.69) 대비 우위
182,15,659,767,2.536,2.058,2.279,2.279,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(2.28)보다 나쁨 — 모델을 쓸 이유가 없음
183,15,659,767,2.423,3.773,3.149,3.145,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(3.15)보다 나쁨 — 모델을 쓸 이유가 없음
201,15,659,767,1.158,2.98,2.138,2.168,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.17) 대비 우위
241,15,140,357,6.928,8.965,8.391,8.395,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(8.39) 대비 우위
261,15,140,357,6.46,6.115,6.212,6.221,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(6.22) 대비 우위
262,15,140,357,6.39,6.54,6.498,6.561,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(6.56) 대비 우위
401,15,659,767,2.852,3.214,3.047,3.027,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(3.03)보다 나쁨 — 모델을 쓸 이유가 없음
421,15,659,767,1.738,2.351,2.068,2.099,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.10) 대비 우위
441,15,659,767,1.752,2.575,2.194,2.196,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.20) 대비 우위
461,15,659,767,1.632,2.896,2.312,2.311,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(2.31)보다 나쁨 — 모델을 쓸 이유가 없음
521,15,659,767,0.948,0.951,0.95,0.949,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(0.95)보다 나쁨 — 모델을 쓸 이유가 없음
522,15,659,767,0.738,0.739,0.738,0.73,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(0.73)보다 나쁨 — 모델을 쓸 이유가 없음
7,30,259,367,0.096,0.686,0.442,0.515,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(0.52) 대비 우위
8,30,625,728,2.479,2.573,2.529,3.907,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.91) 대비 우위
9,30,625,728,2.065,1.788,1.916,2.47,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.47) 대비 우위
10,30,625,728,1.695,1.757,1.728,2.404,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.40) 대비 우위
11,30,625,728,4.18,3.326,3.72,4.664,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(4.66) 대비 우위
12,30,625,728,0.922,1.342,1.148,1.213,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.21) 대비 우위
13,30,625,728,1.65,3.136,2.449,2.441,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(2.44)보다 나쁨 — 모델을 쓸 이유가 없음
14,30,33,216,3.411,1.135,1.437,1.756,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 33행/후반 216행)
16,30,625,728,1.315,1.076,1.186,2.49,seasonal_naive,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · seasonal_naive(2.49) 대비 우위
17,30,625,728,1.027,1.473,1.267,1.306,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.31) 대비 우위
18,30,625,728,1.9,2.465,2.204,2.411,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.41) 대비 우위
20,30,625,728,2.096,1.572,1.814,2.112,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.11) 대비 우위
21,30,625,728,1.749,1.872,1.815,2.285,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.29) 대비 우위
22,30,106,286,7.251,6.406,6.635,7.097,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(7.10) 대비 우위
23,30,45,214,2.269,2.502,2.461,2.409,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 214행)
24,30,625,728,2.08,2.39,2.247,2.513,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.51) 대비 우위
25,30,625,728,2.688,2.932,2.819,3.053,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.05) 대비 우위
26,30,485,728,4.45,3.988,4.173,4.394,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(4.39) 대비 우위
27,30,625,728,1.685,1.337,1.498,2.494,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.49) 대비 우위
28,30,625,728,2.433,2.612,2.53,2.597,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.60) 대비 우위
29,30,625,728,3.786,5.242,4.57,4.691,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(4.69) 대비 우위
30,30,625,728,5.897,6.878,6.425,7.091,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(7.09) 대비 우위
31,30,625,728,3.066,1.89,2.433,2.313,seasonal_naive,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,seasonal_naive 기준선(2.31)보다 나쁨 — 모델을 쓸 이유가 없음
33,30,625,728,2.208,4.047,3.197,3.574,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.57) 대비 우위
34,30,625,728,2.063,2.006,2.033,3.016,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.02) 대비 우위
36,30,625,728,1.67,2.282,1.999,2.286,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.29) 대비 우위
37,30,625,728,1.201,1.299,1.254,1.831,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.83) 대비 우위
38,30,625,728,1.591,2.412,2.033,3.369,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.37) 대비 우위
39,30,625,728,1.671,1.879,1.783,2.092,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.09) 대비 우위
40,30,625,728,3.491,4.08,3.808,3.865,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.87) 대비 우위
42,30,625,728,2.929,2.411,2.65,2.898,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.90) 대비 우위
48,30,249,364,9.119,9.415,9.295,10.4,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(10.40) 대비 우위
52,30,33,214,3.72,5.392,5.169,5.263,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 33행/후반 214행)
53,30,259,367,4.124,4.981,4.626,5.978,seasonal_naive,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · seasonal_naive(5.98) 대비 우위
56,30,101,300,7.956,8.022,8.005,7.98,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(7.98)보다 나쁨 — 모델을 쓸 이유가 없음
81,30,625,728,3.474,3.664,3.577,3.926,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.93) 대비 우위
82,30,625,728,1.254,1.221,1.236,1.44,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.44) 대비 우위
106,30,625,728,0.0,1.963,1.056,1.054,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(1.05)보다 나쁨 — 모델을 쓸 이유가 없음
108,30,625,728,0.644,2.496,1.641,1.689,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.69) 대비 우위
112,30,625,728,3.683,4.352,4.043,5.302,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(5.30) 대비 우위
121,30,625,728,1.211,1.988,1.629,1.657,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.66) 대비 우위
161,30,45,286,8.186,10.531,10.212,10.272,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
162,30,45,283,7.829,11.035,10.595,10.442,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 283행)
163,30,45,286,0.0,4.928,4.258,4.397,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
164,30,45,286,6.285,5.753,5.825,6.551,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
165,30,45,286,11.527,15.39,14.865,14.985,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
166,30,45,286,6.115,5.744,5.795,6.566,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
167,30,45,286,3.146,12.474,11.206,11.233,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
168,30,45,286,9.424,10.446,10.307,10.339,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
169,30,45,284,11.497,12.828,12.646,12.849,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 284행)
170,30,45,286,12.612,10.126,10.464,10.876,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
171,30,45,286,5.351,9.477,8.916,8.802,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 286행)
172,30,45,250,0.388,3.479,3.008,3.385,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 45행/후반 250행)
181,30,625,728,2.25,2.267,2.259,2.646,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.65) 대비 우위
182,30,625,728,3.798,3.476,3.625,3.627,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.63) 대비 우위
183,30,625,728,4.176,5.674,4.982,5.004,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(5.00) 대비 우위
201,30,625,728,1.906,5.249,3.705,3.962,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.96) 대비 우위
241,30,121,336,8.437,10.466,9.929,9.461,seasonal_naive,reports/tables/accuracy_gate_detail.csv,2026-09-20,not_reproduced,한쪽 구간에서만 합격 — 재현되지 않음
261,30,121,336,7.821,8.436,8.273,8.662,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(8.66) 대비 우위
262,30,121,336,8.24,9.786,9.377,9.847,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(9.85) 대비 우위
401,30,625,728,4.189,4.766,4.5,4.544,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(4.54) 대비 우위
421,30,625,728,2.521,3.366,2.976,3.286,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.29) 대비 우위
441,30,625,728,2.485,3.597,3.083,3.163,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.16) 대비 우위
461,30,625,728,2.761,4.503,3.698,3.744,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.74) 대비 우위
521,30,625,728,1.47,1.409,1.437,1.46,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.46) 대비 우위
522,30,625,728,1.046,1.087,1.068,1.112,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.11) 대비 우위
7,60,223,325,0.022,0.802,0.484,0.995,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(0.99) 대비 우위
8,60,565,659,3.618,3.289,3.441,4.512,lag_7d,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · lag_7d(4.51) 대비 우위
9,60,565,659,2.932,2.353,2.62,2.868,seasonal_naive,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · seasonal_naive(2.87) 대비 우위
10,60,565,659,3.036,2.595,2.799,4.078,lag_7d,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · lag_7d(4.08) 대비 우위
11,60,565,659,6.154,4.487,5.256,5.965,lag_7d,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · lag_7d(5.97) 대비 우위
12,60,565,659,1.6,1.766,1.689,1.976,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.98) 대비 우위
13,60,565,659,2.485,4.519,3.58,3.497,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(3.50)보다 나쁨 — 모델을 쓸 이유가 없음
14,60,27,180,4.239,1.288,1.673,2.856,lag_24h,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 27행/후반 180행)
16,60,565,659,2.373,1.555,1.933,2.45,seasonal_naive,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · seasonal_naive(2.45) 대비 우위
17,60,565,659,1.536,1.956,1.762,1.986,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.99) 대비 우위
18,60,565,659,3.151,3.143,3.147,3.598,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.60) 대비 우위
20,60,565,659,3.012,2.443,2.706,3.631,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.63) 대비 우위
21,60,565,659,2.492,2.658,2.581,4.034,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(4.03) 대비 우위
22,60,88,249,8.381,6.836,7.24,8.552,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 88행/후반 249행)
23,60,39,183,4.516,3.494,3.673,3.904,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 39행/후반 183행)
24,60,565,659,2.836,3.186,3.025,3.951,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.95) 대비 우위
25,60,565,659,4.47,4.563,4.52,5.209,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(5.21) 대비 우위
26,60,431,659,7.039,5.675,6.214,7.183,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(7.18) 대비 우위
27,60,565,659,2.785,2.104,2.418,4.683,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(4.68) 대비 우위
28,60,565,659,3.559,3.292,3.415,3.808,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(3.81) 대비 우위
